book_name,book_category,book_intro,book_score,y
신비 컬러링북,예술,"“나의 뮤즈가 되어 줄래?”
“내 그림으로 신비 널 기록할 거야.”
웹툰 ‘신비’의 몽글몽글한 명장면을 컬러링북으로 만나 보세요!

웹툰 속 주인공들을 내가 원하는 대로 색칠할 수 있다?! 『신비 컬러링북』은 몽환적인 스토리와 아름다운 그림체, 주옥 같은 대사로 많은 사랑을 받고 있는 인기 로맨스 웹툰 ‘신비’의 명장면 52컷을 담은 컬러링북이다. 미지의 생명체 신비와 화가 지망생 가람이의 첫 만남, 신비에게 뮤즈가 되어달라는 가람이의 고백, 사라진 줄 알았던 신비와 가람이의 애틋한 재회 등 달달하면서도 뭉클한 장면을 색칠해 보며 주인공들의 감정을 음미해 볼 수 있다. 왼쪽에는 웹툰 원화를 제공해 채색 시 참고할 수 있도록 했으며, 180도로 쫙 펼쳐지는 특수 제본으로 보다 편하게 컬러링북을 즐길 수 있다. 다양한 색으로 나만의 작품을 완성해 보자!
 ",9.9,1
나의 첫 풍경 수채화 컬러링북,예술,"마음을 울리는 풍경을 수채화로 물들여보세요!
수채화에 잘 어울리는 풍경 스케치 25
여행을 좋아하는 당신을 위한 풍경 노트

수채화로 채색했을 때 느껴지는 부드럽고 따스함을 좋아하는 사람이 많다. 수채화의 매력으로 가장 많이 꼽는 특징이기도 하다. 일상에서 만나는 소재를 칠해도 좋지만 때로는 쉽게 만날 수 없고 어쩌면 머릿속 상상으로만 만날 수 있는 풍경을 수채화로 칠해보자. 『나의 첫 풍경 수채화 컬러링북』에는 몰디브 풍경, 자작나무 겨울 숲, 숲 속의 나무집, 배가 있는 호수, 꽃 화분이 있는 창가 등 다양한 풍경 스케치를 담았다. 유명해서 익숙한 에펠탑부터 소박해서 정감 있는 시골길, 노을 지는 도시 그리고 마법 같은 수평선 한 조각까지 풍경을 칠하며 일상에서 지친 마음을 위로하는 시간을 가져보자. 마음에 드는 풍경은 고급 수채화 용지에 옮겨 그려 예쁘게 칠해 벽에 장식해도 좋다.

평소 풍경화를 잘 그리고 싶은 이들이 풍경을 색칠하며 부담 없이 풍경 그리기를 시작해볼 수 있도록 구성했다. 수채화의 가장 기본적인 농도 변화와 색의 혼합, 무채색과 유채색의 이해를 돕는 20색상환을 실어 기초를 탄탄하게 다질 수 있도록 하고, 투시와 원근법을 차근차근 익힐 수 있는 간단한 그림부터 구성 요소가 많고 색감이 다양한 그림까지 수록하여 차근차근 따라 색칠하며 풍경화 그리기를 익힐 수 있도록 했다. 또한 컬러링 작품마다 2장의 스케치를 넣어 한 번 색칠해보고 부족한 부분을 보완하여 한 번 더 색칠할 수 있도록 하고, 책의 뒷부분에 스케치 모음을 수록하여 다른 곳에 스케치를 옮겨 그릴 수 있도록 했다. 책에서 소개한 풍경화를 색칠하며 풍경화 표현에 익숙해지면 자신만의 풍경 그리기에 도전해보자.

 ",9.7,1
시니어 컬러링북 : 꽃그림 편,예술,"‘컬러링+윤곽 그리기+선 따라가기+활동 후 소감 적기’의 4단 구성!
좀 더 건강하고 평온한 ‘시니어 라이프’를 제안하다!

한층 더 건강하고 즐거운 인생을 원하는 시니어들을 위한 신개념 컬러링북을 소개한다. 남녀노소 누구나 쉽게 따라 그릴 수 있는 컬러링에 시니어들만을 위한 특별한 구성을 더해 시니어 맞춤형 컬러링북을 만들었다. ‘색칠하기’와 함께 ‘윤곽 그리기’와 ‘선 따라가기’, ‘채색과 선 따라가기 활동을 하며 느낀 생각과 기분 적어보기’ 등 말단근육과 두뇌 발달에 도움이 되는 유익한 활동을 추가했다. 치매예방은 물론 정서적 안정을 도모하고 성취감도 누릴 수 있는 신개념 컬러링북이다. 처음 소개하는 소재는 꽃그림이다. 보기만 해도 마냥 기분이 좋아지는 알록달록한 꽃그림을 채색하고, 마음에 드는 컬러를 택해 윤곽을 꾹꾹 눌러 그려보자. 다음으로 선을 따라가거나 미로를 통과해 꽃을 화병에 꽂아본다. 그리고 마지막으로 채색과 선 따라가기 활동을 하며 느낀 점을 적어보거나 해당 꽃에 얽힌 추억을 되새겨보는 공간도 마련되어 있다. 단순 채색만이 아니라 두뇌활동에 도움이 되는 다양한 활동도 즐기며 심신의 안정을 취할 수 있도록 구성했다. 이 책과 함께 하루 30분씩 나만을 위한 시간을 갖고 두뇌건강도 챙겨보세요. 하루하루가 더 활기차고 평온해질 것이다.
 ",8.5,0
더 쉬운 우리 민화 컬러링북: 하나,예술,"12색 색연필로 더 쉽게 즐기는 우리 민화 컬러링!
전통 민화의 단아하고 정겨운 감성을 만나보세요!

남녀노소 누구나 쉽고 편하게 따라 그릴 수 있도록 최소한의 컬러를 사용하되, 민화의 멋과 감성을 고스란히 담아낸 컬러링북이다. 재료 준비의 부담감과 번거로움을 한층 낮추고 접근성을 높이기 위해 어린이용 색연필의 기본 12색만 이용해 그림을 완성했다. 이 책에서 독자들은 기본 12색만으로도 얼마나 다채로운 색상 표현이 가능한지 직접 확인해볼 수 있다.

이 책에서는 무엇보다 우리 전통 민화가 지닌 단아한 멋과 소박한 정서를 온전히 느껴볼 수 있다. 자연과 사물을 바라보는 우리 조상들의 순박한 시선과 그것을 그림으로 옮기며 품었던 따듯한 소망들을 만나볼 수 있다. 책더미가 수북하게 쌓여 있는 모습과 문방사우, 사랑방의 도구들을 조화롭게 배치해 그린 ‘책가도’에는 ‘입신양면’과 ‘장원급제’를 기원하는 마음이 담겨 있다. 꽃과 새가 함께 등장하는 ‘화조도’는 조화, 사랑, 행복을 의미한다. 무병장수, 부귀영화, 가정의 행복 등 일상의 소망을 담은 우리 고유의 민화를 컬러링으로 완성해보자.
 ",9.6,1
애뽈의 숲을 닮은 컬러링북,예술,"예술·취미 분야 베스트셀러 1위!
전 세계에서 사랑받는 애뽈의 감성 치유 컬러링북 신작!

출간 즉시 예술, 취미 분야 베스트셀러 1위에 오르며 컬러링북 열풍을 다시 불러일으킨 애뽈 작가의 컬러링북 신작이 마침내 출시되었다. 프리미엄 에디션 『숲으로 물드는 행복한 순간』 이후 2년 만이다. 그라폴리오에서 6년 간 꾸준히 연재해온 350여 점의 작품 중 57컷의 도안을 선별한 『애뽈의 숲을 닮은 컬러링북: 오롯이 나를 위한 시간』은 저자의 컬러링북 시리즈 중에서도 독보적인 분량을 자랑한다. 출간 후 3년 동안 베스트셀러의 자리를 지켜온 전작의 장점은 더욱 살리고, 본격적인 컬러링을 시작하기 전 작은 식물과 소품, 나만의 패턴을 연습할 수 있는 페이지를 알차게 수록했으며, 특별한 부록까지 더했다.

책은 색연필 컬러링은 물론 다양한 컬러링 도구를 사용할 수 있는 도톰한 용지를 사용했고, PUR제본으로 180도 시원하게 펼쳐진다. 부록으로 수채화 채색이 가능한 전문가용 페이지를 더해 다양한 난이도로 컬러링 할 수 있고, 나만의 색으로 꾸며 다이어리 등에 붙일 수 있는 컬러링스티커 또한 수록되었다. 전 세계에서 사랑받는 애뽈의 동화처럼 아름다운 작품의 실제 밑그림인 섬세하고 자연스러운 연필선은 원작의 감동을 그대로 전한다. 파트1에서는 계절마다 변화하는 숲의 모습을, 파트2는 숲에서 살아가는 일상 속 작은 행복을, 파트3에서는 숲소녀의 귀엽고 사랑스러운 상상을 담았다. 일상의 고단함에서 잠시 눈을 떼고 싶을 때, 숲을 닮은 이 책의 한 페이지를 펼쳐두고 오롯이 나만을 위한 시간을 보내며 마음속 소소한 행복을 가득 채워보자.
 ",9.8,1
꽃과 소녀 컬러링북 두번째,예술,"마음을 두드리는 꽃말이 피워낸
활기찬 소녀들이 건네는 따스한 위로
- 사랑스럽고 다정한 컬러링북의 등장

『꽃과 소녀 컬러링북 두번째』는 꽃말, 꽃에 얽힌 이야기를 개성 넘치는 소녀들로 재해석해 많은 사랑을 받는 일러스트레이터 욘욘의 두번째 컬러링북이다. 프리지어, 작약, 팬지처럼 곁에 있는 꽃부터 흑백합, 레인보우 장미 같은 희귀한 꽃까지 총 37가지, 첫번째 컬러링북보다 더욱 풍성하게 담았다.

꽃이 위안이 되었던 순간을 잊지 못했던 작가는 이번 컬러링북에서 특히 사랑, 슬픔, 어둠, 희망에 주목하고 이러한 의미를 품은 꽃을 선정하여 특별한 소녀들로 표현했다. 전작과 마찬가지로 꽃 이름과 꽃말, 독자에게 보내는 작가의 짧은 응원의 메시지도 실었으며, 그림마다 다른 이야기를 담아 상상력을 자극한다.

고급스럽고 잘 펼쳐지는 양장으로 제작되었고, 생기 넘치게 완성된 욘욘의 그림을 참고하며 색을 입힐 수 있어 어떤 색을 칠할지 고민하지 않아도 된다는 것은 이 책의 큰 장점이다. 물론 좋아하는 색을 물들이는 것만으로도 그럴싸하게 완성할 수 있는 밑그림 역시 주목할 만하다. 책 마지막에는 향기로운 꽃이 가득 핀 꽃밭에 누워 쉬고 있는 소녀들을 담은 양면 포스터를 수록했는데, 잘라서 원하는 곳에 붙여 감상하거나 직접 색칠할 수 있다. 이 책에 그려진 소녀와 꽃을 아늑한 자기만의 꽃밭을 가꾸듯 천천히 물들이다보면 어느덧 잊고 있던 싱그러운 꽃향기가 떠오를지 모른다.
 ",9.9,1
패션 아이템 도감,예술,"사고 싶은 옷이 머리에 떠올라도 이름을 모르겠을 때,
일러스트로 보는 디자인의 용어와 특징!

옷의 디자인에는 각각의 명칭이 있다. 스커트나 바지, 상의 등은 물론, 옷깃이나 목둘레의 모양, 커프스 등, 옷 한 벌의 각 부분에도 사실은 이름이 있다. 『패션 아이템 도감』은 옷의 각 부분별로 일러스트와 설명으로 구성되어 있다. 그림을 보고 ‘그거 있잖아, 목둘레에 다는, 칼라 아래쪽에 단추’의 이름을 찾아 낼 수 있다. 옷을 살 때, 코디할 때는 물론, 일러스트나 디자인의 참고로도 다양하게 활용할 수 있는 도감이다.
 ",9.6,1
Cafe Merry 아크릴물감 컬러링 키트,예술,"누적 1,100만뷰, 20만 팔로워, 드로잉메리 작가의 컬러링북 신작!
내가 칠하고 완성하는 아트 포스터 컬러링북

드로잉메리 작가의 컬러링북이 돌아왔다. 『Merry Summer』, 『Merry People』에 이은 세 번째 컬러링북이다. 이번 주제는 ‘카페’로 시원한 바다, 맑은 하늘, 커피 향이 물씬 풍기는 장면 12개를 담았다. 이전 컬러링북보다 더 커진 크기로 칠하는 즐거움도 배가 되었다. 작가의 노하우가 가득한 작품별 채색 가이드 ‘튜토리얼북’을 보며, 작가가 직접 선택한 220g 도화지에 스케치를 인쇄한 ‘아트 포스터 컬러링북’에 컬러링을 하면 멋진 아트 포스터가 완성된다. 영상 튜토리얼도 활용할 수 있다. 특히 이번 『Cafe Merry 아크릴물감 컬러링 키트』에는 붓을 비롯해 주문 제작한 아크릴물감, 종이팔레트 등 처음 아크릴그림을 그리는 사람이 필요한 모든 것이 준비되어 있어 꺼내서 바로 컬러링을 시작할 수 있다.

구성 : 아트 포스터 튜토리얼북+아트 포스터 컬러링북+쉴드 스탠다드 소프트 아크릭컬러 물감 12개(각 20ml)+아크릴용 납작붓(화홍848F 6호)+카페 가이드+종이팔레트(20매 1권)

 ",10.0,1
어반스케치 수업,예술,"그림 실력이 부족한 초보자도 따라서
그릴 수 있는 소소한 나만의 작품, 어반스케치!

어반스케치(Urbansketch)는 도시의 경관이나 거리, 건물을 그리는 것을 말한다. 출근길 아침 버스 정류장, 자주 가는 단골 카페, 매일 걷는 집 앞 거리 등 매일의 일상부터 즐거운 여행, 사랑하는 사람과 보낸 행복한 시간, 함께하는 반려동물까지 눈앞에 있는 지금 이 순간의 느낌을 남다르게 기록하는 특별한 방법으로 떠오르고 있다. “나는 그림을 잘 못 그려요”라고 미리 겁먹지 말자. 미술을 전문으로 배우지 않은 일반인도 조금만 연습하면 얼마든지 나만의 작품을 그릴 수 있다. 이 책은 선을 그리는 방법부터 도형, 작은 소품, 풍경까지 차근차근 그릴 수 있도록 도와준다. 또한 여러 종류의 펜과 다양한 기법을 소개해 그림 주제에 따라 멋지게 표현하는 방법들을 알려준다. 집에 있는 노트와 펜을 들고 집 앞을 나서 보자. 마음에 남는 주변의 모든 것들을 나만의 작품으로 남기는 어반스케치의 매력에 빠져보자!

 ",9.6,1
민화와 소녀 컬러링북,예술,"개성 넘치는 민화와 아름다운 소녀, 모모걸 작가의 소녀 컬러링북 시리즈 완결판!

아름다운 소녀 인물화로 컬러링 독자에게 많은 사랑을 받는 모모걸 작가의 세 번째 소녀 컬러링북이다. 예쁜 꽃과 40편의 명시를 주제로 한 『시와 소녀 컬러링북』, 36곡의 음악과 노랫말을 그림으로 표현한 『음악과 소녀 컬러링북』에 이어 이번에는 가장 한국적인 그림인 우리의 민화를 주제로 한 소녀들을 만나볼 수 있다. 액을 막고 복과 좋은 운을 불러들이는 민화와 아름다운 소녀들의 색다른 만남, 여러분만의 개성으로 색을 채워보자.
 ",10.0,1
